,School Name,School District,Street Address,Grades Served,Overall Rating
3982,Ischool Lewisville (7-12 Campus),Texas College Preparatory Academies,"650 Bennett Ln, Lewisville, TX 75057",Grade 6 - Grade 12,B
3983,Ischool Lewisville (K-6 Campus),Texas College Preparatory Academies,"1800 Lakeway Dr Ste 100, Lewisville, TX 75057",Kindergarten - Grade 5,B
3984,Ischool Virtual Academy of Texas,Texas College Preparatory Academies,"1800 Lakeway Dr, Lewisville, TX 75057",Grade 9 - Grade 12,B
3985,Italy HS,Italy ISD,"300 S College, Italy, TX 76651",Grade 7 - Grade 12,C
3986,Itasca Elem,Itasca ISD,"300 N Files, Itasca, TX 76055",Early Education - Grade 5,Not Rated
3987,Itasca HS,Itasca ISD,"123 N College, Itasca, TX 76055",Grade 9 - Grade 12,B
3988,Itasca MS,Itasca ISD,"208 N Files, Itasca, TX 76055",Grade 6 - Grade 8,Not Rated
3989,J A Hargrave Elem,Crowley ISD,"9200 Poynter St, Fort Worth, TX 76123",Prekindergarten - Grade 5,A
3990,J A Vitovsky Elem,Midlothian ISD,"333 Church St, Midlothian, TX 76065",Early Education - Grade 5,B
3991,J B Stephens Elem,Bangs ISD,"2001 N Sixth St, Bangs, TX 76823",Prekindergarten - Grade 5,B
3992,J B Wilmeth Elem,McKinney ISD,"901 Lacima Dr, McKinney, TX 75071",Kindergarten - Grade 5,A
3993,J C French Elem,Cuero ISD,"611 E Prairie, Cuero, TX 77954",Early Education - Grade 1,B
3994,J C Martin Jr Elem,Laredo ISD,"1600 Monterrey Ave, Laredo, TX 78040",Prekindergarten - Grade 5,A
3995,J C Thompson Elem,Northwest ISD,"440 Wishbone Ln, Haslet, TX 76052",Early Education - Grade 5,Not Rated
3996,J Herman Reed MS,Duncanville ISD,"530 E Freeman St, Duncanville, TX 75116",Grade 7 - Grade 8,B
3997,J K Hileman Elem,Queen City ISD,"1013 Houston St, Queen City, TX 75572",Early Education - Grade 4,A
3998,J Kawas Elem,Laredo ISD,"2100 S Milmo Ave, Laredo, TX 78046",Prekindergarten - Grade 5,A
3999,J L Boren Elem,Mansfield ISD,"1401 Country Club Dr, Mansfield, TX 76063",Early Education - Grade 4,A
4000,J L Everhart Magnet Elem,Longview ISD,"2919 Tryon Rd, Longview, TX 75601",Early Education - Grade 5,B
4001,J L Long MS,Dallas ISD,"6116 Reiger Ave, Dallas, TX 75214",Grade 6 - Grade 8,C
4002,J L Lyon Elem,Magnolia ISD,"27035 Nichols Sawmill Rd, Magnolia, TX 77355",Early Education - Grade 4,B
4003,J L Williams/Lovett Ledger Elem,Copperas Cove ISD,"909 Courtney Ln, Copperas Cove, TX 76522",Kindergarten - Grade 5,C
4004,J Lyndal Hughes Elem,Northwest ISD,"13824 Lost Spurs Rd, Roanoke, TX 76262",Early Education - Grade 5,B
4005,J M Hanks HS,Ysleta ISD,"2001 Lee Trevino Dr, El Paso, TX 79935",Grade 9 - Grade 12,A
4006,J N Ervin Elem,Dallas ISD,"3722 Black Oak Dr, Dallas, TX 75241",Early Education - Grade 5,C
4007,J P Starks Elem,Dallas ISD,"3033 Tips Blvd, Dallas, TX 75216",Prekindergarten - Grade 8,B
4008,J R Phillips Elem,Kaufman ISD,"1501 Royal Dr, Kaufman, TX 75142",Grade 1 - Grade 5,C
4009,J T Brackenridge Elem,San Antonio ISD,"1214 Guadalupe St, San Antonio, TX 78207",Prekindergarten - Grade 5,B
4010,J T Stevens Elem,Fort Worth ISD,"6161 Wrigley Way, Fort Worth, TX 76133",Early Education - Grade 5,C
4011,J W Caceres Discovery Int Academy,Donna ISD,"503 S Hutto Rd, Donna, TX 78537",Prekindergarten - Grade 5,A
4012,J W Holloway Sixth Grade School,Whitehouse ISD,"701 E Main, Whitehouse, TX 75791",Grade 6,B
4013,J W Long Elem,Terrell ISD,"300 Creekside Dr, Terrell, TX 75160",Kindergarten - Grade 5,Not Rated
4014,J W Monday Elem,Kaufman ISD,"905 S Madison St, Kaufman, TX 75142",Grade 1 - Grade 5,B
4015,J W Williams MS,Rockwall ISD,"625 E FM 552, Rockwall, TX 75087",Grade 7 - Grade 8,A
4016,JC Kelly Elem,Hidalgo ISD,"201 E Las Milpas Rd, Pharr, TX 78577",Prekindergarten - Grade 5,A
4017,JH Hines Elem,Waco ISD,"301 Garrison St, Waco, TX 76704",Early Education - Grade 5,Not Rated
4018,JHW Inspire Academies- Rise Recovery,Inspire Academies,"4601 San Pedro, San Antonio, TX 78212",Grade 9 - Grade 12,A
4019,JHW Inspire Academy - Bell County,Inspire Academies,"4800 E Rancier Ave, Killeen, TX 76543",Grade 7 - Grade 11,Not Rated
4020,JHW Inspire Academy - Hays County,Inspire Academies,"2250 Clovis R Barker Rd, San Marcos, TX 78666",Grade 7 - Grade 11,Not Rated
4021,JHW Inspire Academy - Legacy Ranch,Inspire Academies,"13326 N Hwy 183, Gonzales, TX 78629",Kindergarten - Grade 10,Not Rated
4022,JHW Inspire Academy - Rockdale,Inspire Academies,"696 N FM 487, Rockdale, TX 76567",Grade 4 - Grade 12,Not Rated
4023,JJA,San Antonio ISD,"1402 Hackberry St, San Antonio, TX 78208",Grade 12,Not Rated
4024,JJAEP,McKinney ISD,"#1 Duvall St, McKinney, TX 75069",Grade 6 - Grade 9,Not Rated
4025,JJAEP,Comal ISD,"1402 N Hackberry, San Antonio, TX 78208",Grade 10 - Grade 11,Not Rated
4026,JJAEP,Edinburg CISD,"3017 S 10th, McAllen, TX 78503",Grade 8 - Grade 11,Not Rated
4027,JJAEP,Conroe ISD,"2235 N 1st St, Conroe, TX 77301",Grade 6 - Grade 12,Not Rated
4028,JJAEP,Willis ISD,"207 Philpot, Willis, TX 77378",Grade 8 - Grade 11,Not Rated
4029,JJAEP,Webb CISD,"619 Ave F, Bruni, TX 78344",Grade 11,Not Rated
4030,JJAEP Campus,Humble ISD,"20200 Eastway Village Dr, Humble, TX 77347",Grade 9,Not Rated
4031,JJAEP Disciplinary School,Channelview ISD,"2525 Murworth, Houston, TX 77054",Grade 9,Not Rated
4032,JJAEP Disciplinary School,La Porte ISD,"1002 San Jacinto St, La Porte, TX 77571",Grade 11,Not Rated
4033,JJAEP-Southwest Key Program,Mercedes ISD,"1313 S 18th St, Edinburg, TX 78539",Grade 7 - Grade 12,Not Rated
4034,JP Dabbs Elem,Deer Park ISD,"302 E Lambuth, Deer Park, TX 77536",Kindergarten - Grade 5,B
4035,JT Brackenridge DAEP,San Antonio ISD,"1214 Guadalupe, San Antonio, TX 78207",Grade 2 - Grade 5,Not Rated
4036,Jacinto City Elem,Galena Park ISD,"10910 Wiggins, Houston, TX 77029",Early Education - Grade 5,A
4037,Jack & Sharon Rhoads Elem,Katy ISD,"19711 Clay Rd, Katy, TX 77449",Early Education - Grade 5,B
4038,Jack C Binion Elem,Birdville ISD,"7400 Glenview Dr, Richland Hills, TX 76118",Early Education - Grade 5,Not Rated
4039,Jack C Hays HS,Hays CISD,"4800 Jack C Hays Trl, Buda, TX 78610",Grade 9 - Grade 12,A
4040,Jack D Johnson Elem,Carroll ISD,"1301 N Carroll Ave, Southlake, TX 76092",Kindergarten - Grade 4,A
4041,Jack E Singley Academy,Irving ISD,"4601 N MacArthur Blvd, Irving, TX 75038",Grade 9 - Grade 12,B
4042,Jack Lowe Sr Elem,Dallas ISD,"7000 Holly Hill Dr, Dallas, TX 75231",Prekindergarten - Grade 5,A
4043,Jack Lummus Int,Ennis ISD,"501 N Clay St, Ennis, TX 75119",Grade 4 - Grade 6,C
4044,Jack M Fields Sr Elem,Humble ISD,"2505 S Houston Ave, Humble, TX 77396",Prekindergarten - Grade 5,B
4045,Jack Taylor Elem,Burleson ISD,"400 N E Alsbury Blvd, Burleson, TX 76028",Prekindergarten - Grade 5,B
4046,Jack and June Furr Elem,Prosper ISD,"551 S Bluestem Dr, McKinney, TX 75072",Kindergarten - Grade 5,B
4047,Jackie Carden Elem,Crowley ISD,"3701 Garden Springs Rd, Fort Worth, TX 76123",Early Education - Grade 5,B
4048,Jackie Doucet Caffey JH,Alvin ISD,"9727 Pursley Blvd, Manvel, TX 77578",Grade 6 - Grade 8,C
4049,Jackie Fuller Elem,Aubrey ISD,"10825 Quicksilver Blvd, Aubrey, TX 76227",Early Education - Grade 5,B
4050,Jackie Mae Townsell Elem,Irving ISD,"3700 Pleasant Run, Irving, TX 75038",Prekindergarten - Grade 5,B
4051,Jacksboro Elem,Jacksboro ISD,"1677 N Main, Jacksboro, TX 76458",Early Education - Grade 5,Not Rated
4052,Jacksboro HS,Jacksboro ISD,"1400 N Main St, Jacksboro, TX 76458",Grade 9 - Grade 12,B
4053,Jacksboro MS,Jacksboro ISD,"812 W Belknap, Jacksboro, TX 76458",Grade 6 - Grade 8,B
4054,Jackson Elem,Plano ISD,"1101 Jackson Dr, Plano, TX 75075",Prekindergarten - Grade 5,B
4055,Jackson Elem,Lamar CISD,"301 Third St, Rosenberg, TX 77471",Kindergarten - Grade 5,C
4056,Jackson Elem,McAllen ISD,"501 Harvey, McAllen, TX 78501",Prekindergarten - Grade 5,A
4057,Jackson Elem,Chapel Hill ISD,"16406 FM 2767, Tyler, TX 75705",Prekindergarten - Grade 3,C
4058,Jackson Int,Pasadena ISD,"1020 E Thomas, Pasadena, TX 77506",Grade 7 - Grade 8,B
4059,Jackson MS,North East ISD,"4538 Vance Jackson Rd, San Antonio, TX 78230",Grade 6 - Grade 8,A
4060,Jackson MS,Forney ISD,"651 Innovation Blvd, Forney, TX 75126",Grade 7 - Grade 8,C
4061,Jackson Technology Center,Garland ISD,"1310 Bobbie Ln, Garland, TX 75042",Grade 6 - Grade 8,B
4062,Jackson-Keller Elem,North East ISD,"1601 Jackson Keller Rd, San Antonio, TX 78213",Kindergarten - Grade 5,B
4063,Jackson/Roosevelt Elem,Calhoun County ISD,"1512 Jackson St, Port Lavaca, TX 77979",Prekindergarten - Grade 5,B
4064,Jacksonville HS,Jacksonville ISD,"1210 Corinth Rd, Jacksonville, TX 75766",Grade 9 - Grade 12,B
4065,Jacksonville MS,Jacksonville ISD,"1541 E Pine, Jacksonville, TX 75766",Grade 7 - Grade 8,C
4066,Jacob's Well Elem,Wimberley ISD,"3470 Ranch Rd 2325, Wimberley, TX 78676",Grade 3 - Grade 5,C
4067,Jaime Escalante MS,Pharr-San Juan-Alamo ISD,"6123 S Cage, Pharr, TX 78577",Grade 6 - Grade 9,B
4068,Jake Silbernagel Elem,Dickinson ISD,"4201 25th St, Dickinson, TX 77539",Early Education - Grade 4,C
4069,James A Monaco,Aubrey ISD,"9350 Cape Cod Blvd, Aubrey, TX 76227",Kindergarten - Grade 5,B
4070,James B Havard Elem,Galena Park ISD,"15150 Wallisville Rd, Houston, TX 77049",Prekindergarten - Grade 5,A
4071,James Bowie Elem,Simms ISD,"7497 US Hwy 67 W, Simms, TX 75574",Early Education - Grade 5,B
4072,James Bowie Elem,Dallas ISD,"330 N Marsalis Ave, Dallas, TX 75203",Early Education - Grade 5,A
4073,James Bowie Elem,Goose Creek CISD,"200 Clayton Dr, Baytown, TX 77520",Early Education - Grade 5,B
4074,James Bowie Fine Arts Academy,Grand Prairie ISD,"425 Alice Dr, Grand Prairie, TX 75051",Prekindergarten - Grade 5,B
4075,James Bowie Fine Arts Academy,Midland ISD,"805 Elk, Midland, TX 79701",Kindergarten - Grade 6,A
4076,James Bowie HS,Simms ISD,"7497 US Hwy 67 W, Simms, TX 75574",Grade 9 - Grade 12,B
4077,James Bowie MS,Simms ISD,"7497 US Hwy 67 W, Simms, TX 75574",Grade 6 - Grade 8,B
4078,James Bowie MS,Fort Bend ISD,"700 Plantation Dr, Richmond, TX 77406",Grade 6 - Grade 8,A
4079,James C Neill Elem,Fort Bend ISD,"3830 Harvest Corner Dr, Richmond, TX 77406",Early Education - Grade 5,B
4080,James Coble MS,Mansfield ISD,"1200 Ballweg Rd, Arlington, TX 76002",Grade 7 - Grade 8,B
4081,James E Mitchell Elem,Georgetown ISD,"1601 Rockride Ln, Georgetown, TX 78626",Prekindergarten - Grade 5,B
4082,James E Randolph Elem,Katy ISD,"5303 Flewellen Oaks Ln, Fulshear, TX 77441",Early Education - Grade 5,A
4083,James E Williams Elem,Katy ISD,"3900 S Peek Rd, Katy, TX 77450",Early Education - Grade 5,A
4084,James Earl Rudder HS,Bryan ISD,"3251 Austin's Colony Pkwy, Bryan, TX 77808",Grade 9 - Grade 12,B
4085,James F Delaney Elem,Kennedale ISD,"180 W Kennedale Pkwy, Kennedale, TX 76060",Early Education - Grade 4,C
4086,James Fannin MS,Grand Prairie ISD,"301 NE 28th St, Grand Prairie, TX 75050",Grade 6 - Grade 8,C
4087,James Garland Walsh MS,Round Rock ISD,"3850 Walsh Ranch Blvd, Round Rock, TX 78681",Grade 6 - Grade 8,A
4088,James H Baker Sixth Grade Campus,La Porte ISD,"9800 Spencer Hwy, La Porte, TX 77571",Grade 6,C
4089,James H Ross Elem,Clear Creek ISD,"2401 W Main St, League City, TX 77573",Early Education - Grade 5,B
4090,James L Germany MS,DeKalb ISD,"929 W Grizzly Dr, Dekalb, TX 75559",Grade 5 - Grade 8,B
4091,James L Masters,Judson ISD,"2650 Woodlake Pkwy, Converse, TX 78109",Early Education - Grade 5,B
4092,James L Wright Elem,Perryton ISD,"1702 S Grinnell St, Perryton, TX 79070",Grade 1 - Grade 3,B
4093,James M Steele Early College HS,Northwest ISD,"606 N Walnut, Roanoke, TX 76262",Grade 9 - Grade 12,A
4094,James MS,Fort Worth ISD,"1101 Nashville St, Fort Worth, TX 76105",Grade 6 - Grade 8,Not Rated
4095,James Madison HS,Dallas ISD,"3000 Martin Luther King Jr Blv, Dallas, TX 75215",Grade 9 - Grade 12,C
4096,James P Butler Elem,Socorro ISD,"14251 Ralph Seitsinger Dr, El Paso, TX 79938",Prekindergarten - Grade 5,B
4097,James Patterson Elem,Fort Bend ISD,"18702 Beechnut St, Richmond, TX 77407",Early Education - Grade 5,B
4098,James R Bilhartz Jr Elem,Duncanville ISD,"6700 Wandt, Dallas, TX 75236",Early Education - Grade 4,Not Rated
4099,James R Brooks MS,Greenwood ISD,"2511 FM 1379, Midland, TX 79706",Grade 6 - Grade 8,B
4100,James Tippit MS,Georgetown ISD,"1601 Leander Rd, Georgetown, TX 78628",Grade 6 - Grade 8,C
4101,James and Margie Marion Elem,Allen ISD,"1595 Stablerun, Allen, TX 75002",Early Education - Grade 6,A
4102,Jan Schiff Elem,Fort Bend ISD,"7400 Discovery Ln, Missouri City, TX 77459",Early Education - Grade 5,A
4103,Jane A Hambric School,Socorro ISD,"3535 Nolan Richardson Dr, El Paso, TX 79936",Prekindergarten - Grade 8,A
4104,Jane Long,Bryan ISD,"1106 N Harvey Mitchell Pkwy, Bryan, TX 77803",Grade 5 - Grade 6,C
4105,Jane Long Elem,Lamar CISD,"907 Main St, Richmond, TX 77469",Early Education - Grade 5,B
4106,Janet Brockett Elem,Mansfield ISD,"810 Dove Meadows Dr, Arlington, TX 76002",Kindergarten - Grade 4,C
4107,Janowski Elem,Houston ISD,"7500 Bauman Rd, Houston, TX 77022",Prekindergarten - Grade 5,C
4108,Jarrell Elem,Jarrell ISD,"1615 CR 313, Jarrell, TX 76537",Early Education - Grade 5,Not Rated
4109,Jarrell HS,Jarrell ISD,"1100 W FM 487, Jarrell, TX 76537",Grade 9 - Grade 12,C
4110,Jarrell MS,Jarrell ISD,"101 E Ave F, Jarrell, TX 76537",Grade 6 - Grade 8,B
4111,Jasper HS,Plano ISD,"6800 Archgate Dr, Plano, TX 75024",Grade 9 - Grade 10,A
4112,Jasper HS,Jasper ISD,"400 Bulldog, Jasper, TX 75951",Grade 9 - Grade 12,Not Rated
4113,Jasper JH,Jasper ISD,"211 Second St, Jasper, TX 75951",Grade 6 - Grade 8,C
4114,Jay HS,Northside ISD,"7611 Marbach Rd, San Antonio, TX 78227",Grade 9 - Grade 12,C
4115,Jayton Schools,Jayton-Girard ISD,"700 Madison, Jayton, TX 79528",Prekindergarten - Grade 12,A
4116,Jean & Betty Schmalz Elem,Katy ISD,"18605 Green Land Way, Houston, TX 77084",Early Education - Grade 5,B
4117,Jean C Few Pri,Jasper ISD,"225 Bulldog, Jasper, TX 75951",Early Education - Grade 3,Not Rated
4118,Jean Massieu Academy,Jean Massieu Academy,"823 N Center St, Arlington, TX 76011",Prekindergarten - Grade 12,B
4119,Jean Mcclung MS,Fort Worth ISD,"3000 Forest Ave, Fort Worth, TX 76112",Grade 6 - Grade 8,C
4120,Jeanette Hayes Elem,Katy ISD,"21203 Park Timbers, Katy, TX 77450",Early Education - Grade 5,A
4121,Jefferies JH,Comanche ISD,"One Valley Forge Dr, Comanche, TX 76442",Grade 6 - Grade 8,B
4122,Jefferson Ave Elem,Seguin ISD,"215 Short Ave, Seguin, TX 78155",Kindergarten - Grade 5,B
4123,Jefferson Co JJAEP,Port Neches-Groves ISD,"1149 Pearl St, Beaumont, TX 77701",Grade 10,Not Rated
4124,Jefferson Co Youth Acad,Beaumont ISD,"5030 Ste 100 Hwy 69, Beaumont, TX 77705",Grade 7 - Grade 11,Not Rated
4125,Jefferson Elem,Temple ISD,"2616 N 3rd St, Temple, TX 76501",Kindergarten - Grade 5,C
4126,Jefferson Elem,Harlingen CISD,"601 S J St, Harlingen, TX 78550",Early Education - Grade 5,C
4127,Jefferson Elem,Houston ISD,"5000 Sharman St, Houston, TX 77009",Prekindergarten - Grade 5,B
4128,Jefferson Elem,Edinburg CISD,"904 S 12th Ave, Edinburg, TX 78539",Prekindergarten - Grade 5,A
4129,Jefferson Elem,Jefferson ISD,"301 W Harrison, Jefferson, TX 75657",Grade 1 - Grade 4,C
4130,Jefferson Elem,Wichita Falls ISD,"4628 Mistletoe Dr, Wichita Falls, TX 76310",Prekindergarten - Grade 5,B
4131,Jefferson HS,San Antonio ISD,"723 Donaldson Ave, San Antonio, TX 78201",Grade 9 - Grade 12,B
4132,Jefferson HS,El Paso ISD,"4700 Alameda Ave, El Paso, TX 79905",Grade 9 - Grade 12,C
4133,Jefferson HS,Jefferson ISD,"#1 Bulldog Dr, Jefferson, TX 75657",Grade 9 - Grade 12,C
4134,Jefferson JH,Jefferson ISD,"804 N Alley, Jefferson, TX 75657",Grade 5 - Grade 8,Not Rated
4135,Jefferson Learning Ctr,Sherman ISD,"81 Vandenburg, Denison, TX 75020",Grade 9 - Grade 12,B
4136,Jefferson MS,Northside ISD,"10900 Schaenfield Rd, San Antonio, TX 78254",Grade 6 - Grade 8,B
4137,Jefferson MS,Port Arthur ISD,"2200 Jefferson Dr, Port Arthur, TX 77642",Grade 6 - Grade 8,B
4138,Jefferson Pri Sch,Jefferson ISD,"304 W Broadway, Jefferson, TX 75657",Prekindergarten - Kindergarten,C
4139,Jenks Elem,Katy ISD,"27602 Westridge Creek Ln, Katy, TX 77494",Early Education - Grade 5,A
4140,Jennie Reid Elem,La Porte ISD,"10001 W Fairmont Pkwy, La Porte, TX 77571",Kindergarten - Grade 5,B
4141,Jenny Preston Elem,Allen ISD,"2455 Hilliard Dr, Allen, TX 75013",Early Education - Grade 6,A
4142,Jensen Elem,Pasadena ISD,"3514 Tulip St, Pasadena, TX 77504",Prekindergarten - Grade 4,A
4143,Jerry & Linda Moore MS,Celina ISD,"300 E Ga Moore Pkwy, Celina, TX 75009",Grade 6 - Grade 8,A
4144,Jerry R Junkins Elem,Dallas ISD,"2808 Running Duke Dr, Carrollton, TX 75204",Prekindergarten - Grade 5,B
4145,Jerry R Walker MS,Little Elm ISD,"633 French Settlement, Little Elm, TX 75068",Grade 6 - Grade 8,C
4146,Jersey Village HS,Cypress-Fairbanks ISD,"7600 Solomon St, Houston, TX 77040",Grade 9 - Grade 12,B
4147,Jess Harben Elem,Richardson ISD,"600 S Glenville Dr, Richardson, TX 75081",Early Education - Grade 6,B
4148,Jesse McGowen Elem,McKinney ISD,"4300 Columbus Dr, McKinney, TX 75070",Kindergarten - Grade 5,B
4149,Jessie L Jensen Elem,Sharyland ISD,"510 N Glasscock Blvd, Alton, TX 78573",Prekindergarten - Grade 6,B
4150,Jessup Elem,Pasadena ISD,"9301 Almeda Genoa Rd, Houston, TX 77075",Early Education - Grade 4,C
4151,Jesus Moroles Expressive Arts Vanguard,Dallas ISD,"1400 Walmsley Ave, Dallas, TX 75208",Early Education - Grade 8,B
4152,Jewel C Wietzel Center,Harlandale ISD,"9131 Yett Bldg 4, San Antonio, TX 78221",Grade 12,Not Rated
4153,Jill Stone Elem at Vickery Meadow,Dallas ISD,"6321 Ridgecrest Rd, Dallas, TX 75231",Prekindergarten - Grade 5,Not Rated
4154,Jim Barnes MS,Seguin ISD,"1539 Joe Carrillo St, Seguin, TX 78155",Grade 6 - Grade 8,Not Rated
4155,Jim Ned HS,Jim Ned CISD,"9th & Garza, Tuscola, TX 79562",Grade 9 - Grade 12,A
4156,Jim Ned MS,Jim Ned CISD,"9th & Garza, Tuscola, TX 79562",Grade 6 - Grade 8,B
4157,Jim Plain Elem,Leander ISD,"501 S Brook Dr, Leander, TX 78641",Early Education - Grade 5,B
4158,Jim Spradley Elem,Prosper ISD,"11411 Leona St, Frisco, TX 75035",Kindergarten - Grade 5,A
4159,Jim and Betty Hughes Elem,Prosper ISD,"1551 Prestwick Hollow Dr, McKinney, TX 75071",Early Education - Grade 5,B
4160,Jimmie Tyler Brashear Elem,Dallas ISD,"2959 Hampton Rd, Dallas, TX 75204",Prekindergarten - Grade 5,B
4161,Jimmy Carter Early College HS,La Joya ISD,"603 N College Dr, La Joya, TX 78560",Grade 9 - Grade 12,A
4162,Jo Ann Ford Elem,Georgetown ISD,"210 Woodlake Dr, Georgetown, TX 78633",Kindergarten - Grade 5,B
4163,Jo Kelly Sp Ed,Fort Worth ISD,"201 N Bailey Ave, Fort Worth, TX 76107",Early Education - Grade 12,Not Rated
4164,Jo Nelson MS,Santa Rosa ISD,"102 S Main, Santa Rosa, TX 78593",Grade 6 - Grade 8,C
4165,Joan Link Elem,Spring ISD,"2815 Ridge Hollow Dr, Houston, TX 77067",Early Education - Grade 5,B
4166,Joaquin Cigarroa MS,Laredo ISD,"2600 Palo Blanco St, Laredo, TX 78046",Grade 6 - Grade 8,C
4167,Joaquin Elem,Joaquin ISD,"120 Southern Ave, Joaquin, TX 75954",Early Education - Grade 5,A
4168,Joaquin HS,Joaquin ISD,"10901 Hwy 84 E, Joaquin, TX 75954",Grade 9 - Grade 12,A
4169,Joaquin JH School,Joaquin ISD,"10901 Hwy 84 E, Joaquin, TX 75954",Grade 6 - Grade 8,B
4170,Joe Dale Sparks Campus,Denton ISD,"210 S Woodrow, Denton, TX 76205",Grade 5 - Grade 12,Not Rated
4171,Joe Hubenak Elem,Lamar CISD,"11344 Rancho Bella Pkwy, Richmond, TX 77406",Early Education - Grade 5,A
4172,Joe K Bryant Elem,Anna ISD,"2725 Bryant Farm Rd, Anna, TX 75409",Kindergarten - Grade 5,C
4173,Joe Lee Johnson Elem,Round Rock ISD,"2800 Sauls Dr, Austin, TX 78728",Prekindergarten - Grade 5,C
4174,Joe M Pirtle Elem,Belton ISD,"714 S Pea Rdg, Temple, TX 76502",Kindergarten - Grade 5,B
4175,Joe V Hart Elem,Lovejoy ISD,"450 Country Club Rd, Lucas, TX 75002",Early Education - Grade 4,A
4176,Joe Wright Elem,Jacksonville ISD,"1055 N Pineda St, Jacksonville, TX 75766",Early Education - Grade 4,B
4177,Joella Exley Elem,Katy ISD,"21800 Westheimer Pkwy, Katy, TX 77494",Early Education - Grade 5,A
4178,Johanna Odonnell Int,Fabens ISD,"301 N E Camp, Fabens, TX 79838",Grade 4 - Grade 5,A
4179,John & Olive Hinojosa Elem,Rio Grande City Grulla ISD,"2448 Embassy St, Rio Grande City, TX 78582",Prekindergarten - Grade 5,B
4180,John A Baker,Prosper ISD,"3125 Bluewood Dr, McKinney, TX 75071",Kindergarten - Grade 5,B
4181,John A Dubiski Career HS,Grand Prairie ISD,"2990 S Hwy 161, Grand Prairie, TX 75052",Grade 9 - Grade 12,A
4182,John A Sippel Elem,Schertz-Cibolo-U City ISD,"420 Fairlawn, Schertz, TX 78154",Early Education - Grade 4,C
4183,John Arredondo Elem,Lamar CISD,"6110 August Green Dr, Richmond, TX 77469",Early Education - Grade 5,A
4184,John B Alexander HS,United ISD,"3600 E Del Mar, Laredo, TX 78041",Grade 9 - Grade 12,A
4185,John B Connally HS,Pflugerville ISD,"13212 N Lamar, Austin, TX 78753",Grade 9 - Grade 12,C
4186,John C Webb Elem,Navasota ISD,"1605 Neal St, Navasota, TX 77868",Early Education - Grade 5,C
4187,John D Spicer Elem,Birdville ISD,"4300 Estes Park Rd, Haltom City, TX 76137",Early Education - Grade 5,A
4188,John Doedyns Elem,Pharr-San Juan-Alamo ISD,"1401 N Raul Longoria Rd, San Juan, TX 78589",Early Education - Grade 7,B
4189,John Drugan School,Socorro ISD,"12451 Pellicano, El Paso, TX 79928",Prekindergarten - Grade 8,A
4190,John F Kennedy Elem,Edinburg CISD,"8610 Tex-Mex, Edinburg, TX 78539",Prekindergarten - Grade 5,B
4191,John F Kennedy Elem,Mercedes ISD,"801 Hidalgo St, Mercedes, TX 78570",Prekindergarten - Grade 5,B
4192,John F Kennedy Elem,La Joya ISD,"1801 N Diamond Ave, Penitas, TX 78576",Early Education - Grade 5,A
4193,John F Kennedy HS,Edgewood ISD,"1922 S General McMullen Dr, San Antonio, TX 78226",Grade 9 - Grade 12,Not Rated
4194,John F Peeler Elem,Dallas ISD,"810 S Llewellyn Ave, Dallas, TX 75208",Prekindergarten - Grade 5,B
4195,John F Ward Elem,Clear Creek ISD,"1440 Bouldercrest Dr, Houston, TX 77062",Prekindergarten - Grade 5,B
4196,John G Tower Elem,Burkburnett ISD,"5200 Hooper Dr, Wichita Falls, TX 76306",Prekindergarten - Grade 5,C
4197,John H Shary Elem,Sharyland ISD,"2300 N Glasscock Rd, Mission, TX 78574",Prekindergarten - Grade 6,A
4198,John J Ciavarra Elem,Devine ISD,"112 Bentsen Dr, Devine, TX 78016",Early Education - Grade 2,B
4199,John J Pershing Elem,Dallas ISD,"5715 Meaders Ln, Dallas, TX 75230",Prekindergarten - Grade 5,B
4200,John Lewis Social Justice Academy at O W Holmes,Dallas ISD,"2001 E Kiest Blvd, Dallas, TX 75216",Grade 6 - Grade 8,Not Rated
4201,John M Tidwell MS,Northwest ISD,"3937 Haslet-Roanoke Rd, Roanoke, TX 76262",Grade 6 - Grade 8,B
4202,John Mckeever Elem,Pharr-San Juan-Alamo ISD,"1310 W Ridge, Alamo, TX 78516",Early Education - Grade 5,B
4203,John Neely Bryan Elem,Dallas ISD,"2001 Deer Path Dr, Dallas, TX 75216",Prekindergarten - Grade 5,B
4204,John P Ojeda MS,Del Valle ISD,"4900 McKinney Falls Pkwy, Austin, TX 78744",Grade 6 - Grade 8,C
4205,John Q Adams Elem,Dallas ISD,"8239 Lk June Rd, Dallas, TX 75217",Prekindergarten - Grade 5,C
4206,John T White Elem,Fort Worth ISD,"7300 John T White Rd, Fort Worth, TX 76120",Early Education - Grade 5,B
4207,John W Armstrong Elem,Garland ISD,"4750 Ben Davis Rd, Sachse, TX 75048",Kindergarten - Grade 5,A
4208,John W Arndt Elem,United ISD,"610 Santa Marta Blvd, Laredo, TX 78046",Early Education - Grade 5,B
4209,John W Carpenter Elem,Dallas ISD,"2121 Tosca Ln, Dallas, TX 75224",Prekindergarten - Grade 5,B
4210,John W Runyon Elem,Dallas ISD,"10750 Cradlerock Dr, Dallas, TX 75217",Prekindergarten - Grade 5,C
4211,John W and Margie Stipes Elem,Irving ISD,"3100 Cross Timbers, Irving, TX 75060",Prekindergarten - Grade 5,B
4212,John Winship Elem,Spring ISD,"2175 Spring Creek Dr, Spring, TX 77373",Early Education - Grade 5,B
