,School Name,School District,Street Address,Grades Served,Overall Rating
3017,Graham Elem,Graham ISD,"1219 Cliff Dr, Graham, TX 76450",Early Education - Grade 5,B
3018,Graham HS,Graham ISD,"1000 Brazos St, Graham, TX 76450",Grade 9 - Grade 12,A
3019,Graham JH,Graham ISD,"1000 Second St, Graham, TX 76450",Grade 6 - Grade 8,C
3020,Graham Learning Ctr,Graham ISD,"701 Tennessee, Graham, TX 76450",Grade 9 - Grade 12,Not Rated
3021,Granbury HS,Granbury ISD,"2000 W Pearl St, Granbury, TX 76048",Grade 9 - Grade 12,B
3022,Granbury MS,Granbury ISD,"2000 Crossland Rd, Granbury, TX 76048",Grade 6 - Grade 8,C
3023,Grand Lakes JH,Tomball ISD,"20247 Cypress Rosehill Rd, Tomball, TX 77377",Grade 7 - Grade 8,A
3024,Grand Oaks Elem,Tomball ISD,"20241 Cypress Rosehill, Tomball, TX 77377",Early Education - Grade 4,A
3025,Grand Oaks HS,Conroe ISD,"4800 Riley Fuzzel Rd, Spring, TX 77386",Grade 9 - Grade 12,B
3026,Grand Prairie Collegiate Institute,Grand Prairie ISD,"1502 College St, Grand Prairie, TX 75051",Grade 6 - Grade 12,A
3027,Grand Prairie Fine Arts Academy,Grand Prairie ISD,"102 Gopher Blvd, Grand Prairie, TX 75050",Grade 6 - Grade 12,A
3028,Grand Prairie HS,Grand Prairie ISD,"101 Gopher Blvd, Grand Prairie, TX 75050",Grade 9 - Grade 12,C
3029,Grand Saline Elem,Grand Saline ISD,"405 Stadium Dr, Grand Saline, TX 75140",Early Education - Grade 2,B
3030,Grand Saline HS,Grand Saline ISD,"500 Stadium Dr, Grand Saline, TX 75140",Grade 9 - Grade 12,B
3031,Grand Saline Int,Grand Saline ISD,"200 Stadium Dr, Grand Saline, TX 75140",Grade 3 - Grade 5,B
3032,Grand Saline MS,Grand Saline ISD,"400 Stadium Dr, Grand Saline, TX 75140",Grade 6 - Grade 8,C
3033,Grandfalls-Royalty School,Grandfalls-Royalty ISD,"115 Ave C, Grandfalls, TX 79742",Prekindergarten - Grade 12,Not Rated
3034,Grandview Elem,Grandview ISD,"301 Zebra Pkwy, Grandview, TX 76050",Early Education - Grade 5,B
3035,Grandview HS,Grandview ISD,"1009 Carroll St, Grandview, TX 76050",Grade 9 - Grade 12,A
3036,Grandview Hills Elem,Leander ISD,"12024 Vista Parke Dr, Austin, TX 78726",Early Education - Grade 5,B
3037,Grandview JH,Grandview ISD,"705 S 5th St, Grandview, TX 76050",Grade 6 - Grade 8,B
3038,Grandview-Hopkins Elem,Grandview-Hopkins ISD,"11676 FM 293, Groom, TX 79039",Kindergarten - Grade 6,B
3039,Granger School,Granger ISD,"300 N Colorado St, Granger, TX 76530",Prekindergarten - Grade 12,B
3040,Grangerland Int,Conroe ISD,"16283 FM 3083, Conroe, TX 77302",Grade 5 - Grade 6,C
3041,Grant MS,Corpus Christi ISD,"4350 Aaron Dr, Corpus Christi, TX 78413",Grade 6 - Grade 8,C
3042,Grantham Academy,Aldine ISD,"13300 Chrisman Rd, Houston, TX 77039",Grade 6 - Grade 8,C
3043,Grape Creek HS,Grape Creek ISD,"8834 Grape Creek Rd, San Angelo, TX 76901",Grade 9 - Grade 12,B
3044,Grape Creek Int,Grape Creek ISD,"9633 Grape Creek Rd, San Angelo, TX 76901",Grade 3 - Grade 5,B
3045,Grape Creek MS,Grape Creek ISD,"9633 Grape Creek Rd, San Angelo, TX 76901",Grade 6 - Grade 8,Not Rated
3046,Grape Creek Pri,Grape Creek ISD,"9633 Grape Creek Rd, San Angelo, TX 76901",Early Education - Grade 2,B
3047,Grapeland Elem,Grapeland ISD,"796 N Olive, Grapeland, TX 75844",Prekindergarten - Grade 5,B
3048,Grapeland HS,Grapeland ISD,"318 N Olive, Grapeland, TX 75844",Grade 9 - Grade 12,B
3049,Grapeland JH,Grapeland ISD,"116 W Myrtle, Grapeland, TX 75844",Grade 6 - Grade 8,C
3050,Grapevine Elem,Grapevine-Colleyville ISD,"1801 Hall Johnson Rd, Grapevine, TX 76051",Prekindergarten - Grade 5,A
3051,Grapevine HS,Grapevine-Colleyville ISD,"3223 Mustang Dr, Grapevine, TX 76051",Grade 9 - Grade 12,B
3052,Grapevine MS,Grapevine-Colleyville ISD,"301 Pony Pkwy, Grapevine, TX 76051",Grade 6 - Grade 8,B
3053,Grapevine-Colleyville Collegiate Academy at Tcc Ne,Grapevine-Colleyville ISD,"828 W Harwood Bldg Nmpc, Hurst, TX 76054",Grade 9 - Grade 12,A
3054,Gray Elem,Mesquite ISD,"3500 Pioneer Rd, Balch Springs, TX 75180",Early Education - Grade 5,A
3055,Gray Elem,Aldine ISD,"700 W Rd, Houston, TX 77038",Grade 1 - Grade 5,B
3056,Great Hearts Arlington,Great Hearts Texas,"6701 S Cooper St, Arlington, TX 76001",Kindergarten - Grade 7,C
3057,Great Hearts Forest Heights,Great Hearts Texas,"5538 Research Dr, San Antonio, TX 78240",Kindergarten - Grade 8,C
